High,Low,Close,Atr
330.670013,324.420013,329.480011,3.99
330.890015,327.570007,328.579987,3.95
334.160004,328.679993,333.410004,3.93
335.820007,331.429993,335.420013,3.94
336.320007,334.100006,335.950012,3.94
337.589996,334.920013,335.290009,3.95
335.350006,332.220001,333.600006,3.92
336.619995,332.200012,336.390015,3.93
340.380005,334.089996,335.899994,3.99
341.679993,335.540009,339.820007,4.03
341.299988,337.660004,338.309998,4.04
339.279999,336.619995,338.670013,4.01
341.350006,336.369995,338.609985,4.04
338.850006,335.660004,336.959991,4.02
337.470001,334.190002,335.25,4.02
335.829987,331.839996,334.119995,3.99
336.730011,334.369995,335.339996,3.97
336.399994,332.609985,334.149994,3.94
337.01001,334.140015,336.910004,3.93
342.5,338.399994,341,3.98
342.079987,338.410004,342,3.99
341.890015,338.700012,341.559998,3.99
341.799988,338.910004,341.459991,4.01
344.070007,340.390015,340.899994,4.02
343.480011,339.869995,341.130005,4
343.839996,340.929993,343.369995,3.96
346.440002,344.309998,345.350006,3.93
346.209991,343.450012,343.540009,3.92
345,340.51001,341.089996,3.86
345.720001,341.089996,344.25,3.85
347.25,343.540009,345.339996,3.76
345.380005,341.98999,342.429993,3.77
346.790009,342.850006,346.609985,3.75
347.619995,345.100006,345.76001,3.74
351.190002,346.279999,349.630005,3.71
349.660004,345.540009,347.579987,3.73
351.089996,347.519989,349.799988,3.73
351.269989,348.600006,349.309998,3.71
351,348.320007,349.809998,3.72
352.329987,350.209991,351.959991,3.69
353.420013,351.25,352.26001,3.65
352.890015,349.690002,351.190002,3.62
354.470001,349.420013,353.809998,3.66
355.109985,349.390015,349.98999,3.65
364.630005,355.149994,362.579987,3.77
364.25,358.850006,363.730011,3.82
364.429993,356.059998,358.019989,3.93
362.350006,355.920013,356.980011,3.99
359.25,353.200012,358.350006,4.05
358.950012,356.809998,358.480011,4.02
357.920013,353.670013,354.5,3.98
358.720001,353.380005,354.109985,4.02
356.299988,351.880005,353.190002,3.99
354.299988,351.25,352.559998,3.97
354.179993,349.609985,352.089996,4.01
353.5,349.660004,350.570007,4.04
354.320007,351.540009,354.26001,4.03
357.230011,354.130005,354.299988,4
357.350006,352.920013,355.929993,3.97
358.410004,354.529999,355.549988,3.92
358.589996,354.01001,358.290009,3.94
362.679993,358.600006,361.059998,3.97
362.470001,359.25,360.200012,3.93
363.390015,360.600006,362.459991,3.93
366.470001,360,360.470001,3.99
362.799988,359.26001,361.670013,3.98
363.299988,360.869995,361.799988,3.98
364.829987,361.769989,363.149994,3.97
366.609985,364.51001,365.519989,3.95
370.429993,365.470001,367.779999,3.97
370.839996,365.970001,367.820007,3.99
370.220001,368.26001,369.5,3.97
370.200012,367.519989,367.859985,3.96
371.329987,367.790009,370.429993,3.96
373.339996,368.459991,370.480011,3.99
371.339996,366.730011,366.820007,4.02
367.200012,362.940002,363.279999,4.06
363.420013,359.76001,360.160004,4.08
361.890015,357.269989,361.709991,4.08
360.790009,357.950012,359.420013,4.05
360.519989,354.269989,357.779999,4.1
359.470001,356.670013,357.059998,4.09
357.5,348.549988,350.299988,4.19
350,345.410004,348.079987,4.23
348.23999,342.130005,343.040009,4.25
344.01001,339.51001,343.690002,4.26
345.940002,342.369995,345.059998,4.26
348.76001,341.859985,346.339996,4.35
345.899994,342.829987,345.450012,4.35
349.51001,345.5,348.559998,4.39
349.600006,344.920013,348.429993,4.44
348.660004,343.019989,345.660004,4.49
348.440002,343.880005,345.089996,4.48
349.940002,345.829987,346.230011,4.45
348.410004,344.149994,345.390015,4.34
344.829987,339.959991,340.890015,4.33
342.690002,338.450012,338.660004,4.25
340,334.350006,335.859985,4.24
338.880005,333.48999,336.839996,4.22
339.850006,337.769989,338.630005,4.22
339.619995,336.549988,336.899994,4.2
338.320007,335.459991,336.160004,4.15
336.190002,330.579987,331.709991,4.17
338.359985,332.179993,337.410004,4.23
341.48999,337.5,341.329987,4.22
345.329987,340.579987,343.75,4.24
349.390015,344.5,349.019989,4.28
354.350006,349.790009,351.809998,4.31
354.029999,344.059998,346.630005,4.42
346.950012,344.299988,346.170013,4.4
348,344.690002,346.299988,4.37
350.109985,346.880005,348.179993,4.36
351.200012,348.600006,350.559998,4.34
350.649994,348.809998,350.01001,4.32
355.950012,351.25,354.25,4.29
357.309998,354.480011,356.790009,4.27
360,357.230011,359.859985,4.28
360.559998,358.070007,358.929993,4.27
362.609985,358.179993,361.329987,4.32
363.029999,360.25,361,4.27
362.459991,360.049988,361.799988,4.22
363.190002,361.23999,362.679993,4.22
362.640015,359.579987,361.339996,4.23
362.119995,359.209991,360.049988,4.22
361.519989,358.299988,358.690002,4.19
