High,Low,Close,SuperTrend
322.630005,319.670013,320.600006,323.06
322.470001,319,322.190002,323.06
322.410004,319.390015,321.079987,322.19
323.220001,319.529999,323.119995,320.84
330.670013,324.420013,329.480011,325.06
330.890015,327.570007,328.579987,325.48
334.160004,328.679993,333.410004,325.67
335.820007,331.429993,335.420013,326.64
336.320007,334.100006,335.950012,329.27
337.589996,334.920013,335.290009,332.24
335.350006,332.220001,333.600006,332.24
336.619995,332.200012,336.390015,334.24
340.380005,334.089996,335.899994,338.51
341.679993,335.540009,339.820007,334.99
341.299988,337.660004,338.309998,334.99
339.279999,336.619995,338.670013,334.99
341.350006,336.369995,338.609985,334.99
338.850006,335.660004,336.959991,334.99
337.470001,334.190002,335.25,334.99
335.829987,331.839996,334.119995,335.47
336.730011,334.369995,335.339996,335.42
336.399994,332.609985,334.149994,335.25
337.01001,334.140015,336.910004,336.74
342.5,338.399994,341,340.3
342.079987,338.410004,342,340.3
341.890015,338.700012,341.559998,340.3
341.799988,338.910004,341.459991,340.3
344.070007,340.390015,340.899994,340.3
343.480011,339.869995,341.130005,340.3
343.839996,340.929993,343.369995,340.3
346.440002,344.309998,345.350006,344.05
346.209991,343.450012,343.540009,345.32
345,340.51001,341.089996,343.71
345.720001,341.089996,344.25,341.03
347.25,343.540009,345.339996,341.85
345.380005,341.98999,342.429993,341.85
346.790009,342.850006,346.609985,341.85
347.619995,345.100006,345.76001,341.93
351.190002,346.279999,349.630005,343.72
349.660004,345.540009,347.579987,343.72
351.089996,347.519989,349.799988,344.51
351.269989,348.600006,349.309998,346.23
351,348.320007,349.809998,347.59
352.329987,350.209991,351.959991,350.97
353.420013,351.25,352.26001,350.94
352.890015,349.690002,351.190002,353.62
354.470001,349.420013,353.809998,353.09
355.109985,349.390015,349.98999,354.1
364.630005,355.149994,362.579987,348.64
364.25,358.850006,363.730011,348.64
364.429993,356.059998,358.019989,348.64
362.350006,355.920013,356.980011,348.64
359.25,353.200012,358.350006,348.64
358.950012,356.809998,358.480011,348.64
357.920013,353.670013,354.5,348.64
358.720001,353.380005,354.109985,353.46
356.299988,351.880005,353.190002,351.96
354.299988,351.25,352.559998,358.54
354.179993,349.609985,352.089996,344.72
353.5,349.660004,350.570007,358.75
354.320007,351.540009,354.26001,346.94
357.230011,354.130005,354.299988,360.5
357.350006,352.920013,355.929993,352.12
358.410004,354.529999,355.549988,357.84
358.589996,354.01001,358.290009,355.71
362.679993,358.600006,361.059998,358.37
362.470001,359.25,360.200012,358.37
363.390015,360.600006,362.459991,359.42
366.470001,360,360.470001,359.42
362.799988,359.26001,361.670013,359.42
363.299988,360.869995,361.799988,359.42
364.829987,361.769989,363.149994,361.05
366.609985,364.51001,365.519989,364.62
370.429993,365.470001,367.779999,366.75
370.839996,365.970001,367.820007,366.75
370.220001,368.26001,369.5,367.14
370.200012,367.519989,367.859985,367.36
371.329987,367.790009,370.429993,368.37
373.339996,368.459991,370.480011,368.96
371.339996,366.730011,366.820007,372.24
367.200012,362.940002,363.279999,369.24
363.420013,359.76001,360.160004,366.12
361.890015,357.269989,361.709991,364.82
360.790009,357.950012,359.420013,364.74
360.519989,354.269989,357.779999,363.86
359.470001,356.670013,357.059998,363.86
357.5,348.549988,350.299988,361
350,345.410004,348.079987,357.02
348.23999,342.130005,343.040009,355.68
344.01001,339.51001,343.690002,352.04
345.940002,342.369995,345.059998,352.04
348.76001,341.859985,346.339996,352.04
345.899994,342.829987,345.450012,349.64
349.51001,345.5,348.559998,349.64
349.600006,344.920013,348.429993,348.61
348.660004,343.019989,345.660004,346.79
348.440002,343.880005,345.089996,346.79
349.940002,345.829987,346.230011,346.79
348.410004,344.149994,345.390015,346.79
344.829987,339.959991,340.890015,345.26
342.690002,338.450012,338.660004,343.89
340,334.350006,335.859985,341.29
338.880005,333.48999,336.839996,341.06
339.850006,337.769989,338.630005,341.06
339.619995,336.549988,336.899994,340.39
338.320007,335.459991,336.160004,337.02
336.190002,330.579987,331.709991,333.01
338.359985,332.179993,337.410004,333.96
341.48999,337.5,341.329987,336.94
345.329987,340.579987,343.75,339.13
349.390015,344.5,349.019989,341.5
354.350006,349.790009,351.809998,345.28
354.029999,344.059998,346.630005,345.28
346.950012,344.299988,346.170013,345.28
348,344.690002,346.299988,345.28
350.109985,346.880005,348.179993,345.28
351.200012,348.600006,350.559998,348.17
350.649994,348.809998,350.01001,347.37
355.950012,351.25,354.25,357.31
357.309998,354.480011,356.790009,351.06
360,357.230011,359.859985,363.13
360.559998,358.070007,358.929993,355.38
362.609985,358.179993,361.329987,362.84
363.029999,360.25,361,360.44
362.459991,360.049988,361.799988,361.92
363.190002,361.23999,362.679993,361.09
362.640015,359.579987,361.339996,362.24
362.119995,359.209991,360.049988,359.72
361.519989,358.299988,358.690002,359.59
